company_name,supplier_address,supplier_name,supplier_tier,supplier_latlon
"H & M, Hennes & Mauritz AB","Plot no 22, Near Industrial Area 283203, Firozabad",Uma Glass Works,Tier 1 Supplier,"[27.1591961, 78.3957331]"
"H & M, Hennes & Mauritz AB","G161-164 , RIICO Industrial Area, Bagru Extension , Bagru, 303007, Jaipur",Dileep Industries Pvt Limited (wood),Tier 1 Supplier,
"H & M, Hennes & Mauritz AB","# 40/2, Dasanapura, Opp. Surat Goods Carrie, Madanayakanahalli, Tumkur Road 562123, BANGALORE",Texport Syndicate (Texport Syndicate (I) Ltd. - 4),Tier 1 Supplier,"[13.0609737, 77.46183289999999]"
"H & M, Hennes & Mauritz AB","Plot 183 A&B, sectore 25, part II 132103, Panipat",Riviera Unit-2,Tier 1 Supplier,
"H & M, Hennes & Mauritz AB","142/1, Chennai Krishnagiri, National Highway (Trunk Road), Perumugai, 632009, Vellore",KH Exports India Pvt. Ltd. - Gloves,Tier 1 Supplier,"[13.0826802, 80.2707184]"
"H & M, Hennes & Mauritz AB","Plot A-463, TTC Indl Area, MIDC Mahape, 400710, Navi Mumbai",RAM FASHION EXPORTS P LTD,Tier 1 Supplier,"[19.1138775, 73.0126398]"
"H & M, Hennes & Mauritz AB","Survey No. 8/2, V.P. Katha No. 851, Benganur, Village Kasaba Hobli, 563114, Bangarpet",INDIAN DESIGNS (Indian Designs Exports Pvt. Ltd. Unit - IV),Tier 1 Supplier,
"H & M, Hennes & Mauritz AB","1084, Dr.APJ Abdul Kalam Road, Govindapura A.C. Post 560045, Bangalore",INDIAN DESIGNS (UNIT-5),Tier 1 Supplier,
"H & M, Hennes & Mauritz AB","No.1 (115 / 3), West of Chord Road, Rajajinagar 560044, Bangalore",KABADI SHANKARSA (Rajajinagar Unit),Tier 1 Supplier,
"H & M, Hennes & Mauritz AB","Door no 253, Lakshmi Estate, Puddukottai Road 613005, TANJORE",Shakthi Knitting - flamingo,Tier 1 Supplier,"[10.7485132, 79.11577779999999]"
"H & M, Hennes & Mauritz AB","PLOT#11-12, SECTOR-25, Part I, HUDA 132103, Panipat",Raj Overseas unit-1,Tier 1 Supplier,
"H & M, Hennes & Mauritz AB","Plot no.-02, Kiadb Industrial Area, Dodaballapur 561203, Bangalore",GOKALDAS EXPORTS (Indigo Blues-Washing Unit),Tier 1 Supplier,"[12.9715987, 77.5945627]"
"H & M, Hennes & Mauritz AB","Katha No.- S 620 - 628, T.B. Road 571438, Srirangapatna",GOKALDAS EXPORTS (Unit Euro Clothing -II),Tier 1 Supplier,"[12.4215561, 76.6931273]"
